IdAluno,CodigoSerie_x,AnoConclusao_x,IdDisciplina,StDependencia,Nota_,NotaFinal,CargaHorariaAnual,QuantidadeFaltasAnual,ResultadoFinal_x,IdSerie_x,CargaHorariaAnualExibicao,StCHIgnorarSoma_x,IdHistoricoNotas,NovoEnsinoMedio_GrupoEstruturaCurricular,NovoEnsinoMedio_AreaConhecimento,CargaHorariaAnualHoraMinuto,CargaHorariaAnualHoraMinutoExibicao,StUsaCargaHorariaAnualHoraMinutoTexto,FaltasHoraMinuto,CargaHorariaAula,CodigoSerie_y,AnoConclusao_y,ResultadoFinal_y,IdEstabelecimentoEnsino,DiasLetivos,CargaHorariaTotal,Observacao,IdSerie_y,CargaHorariaTotalExibicao,StCHIgnorarSoma_y,FrequenciaTotal,CargaHorariaTotalHoraMinuto,CargaHorariaTotalHoraMinutoExibicao,StUsaCargaHorariaTotalHoraMinutoTexto,TotalFaltasTexto
2,n14,2023,5,0,," 6,5",,0.0,R,,,False,59,,,,,False,,,n14,2023,C,2083,,,,,,False,,,,False,
2,n14,2023,5,0,," 6,5",,0.0,R,,,False,59,,,,,False,,,n17,2023,A,2083,,,,,,False,,,,False,
2,n17,2023,5,0,," 6,0",,,A,,,False,60,,,,,False,,,n14,2023,C,2083,,,,,,False,,,,False,
2,n17,2023,5,0,," 6,0",,,A,,,False,60,,,,,False,,,n17,2023,A,2083,,,,,,False,,,,False,
2,n17,2023,25,0,," 6,0",,,A,,,False,61,,,,,False,,,n14,2023,C,2083,,,,,,False,,,,False,
2,n17,2023,25,0,," 6,0",,,A,,,False,61,,,,,False,,,n17,2023,A,2083,,,,,,False,,,,False,
3,n16,2021,17,0,, ,,0.0,A,,,False,19,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
4,n16,2021,17,0,, ,,0.0,A,,,False,20,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
8,n16,2021,17,0,, ,,0.0,A,,,False,21,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
12,n16,2021,17,0,, ,,0.0,A,,,False,22,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
15,n16,2021,17,0,, ,,0.0,A,,,False,23,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
17,n16,2021,17,0,, ,,0.0,A,,,False,24,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
21,n16,2021,17,0,, ,,0.0,A,,,False,27,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
24,n16,2021,17,0,, ,,0.0,A,,,False,17,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
25,n16,2021,17,0,, ,,0.0,A,,,False,29,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
26,n16,2021,17,0,, ,,0.0,A,,,False,31,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
27,n16,2021,17,0,, ,,0.0,A,,,False,32,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
28,n16,2021,17,0,, ,,0.0,A,,,False,33,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
29,n16,2021,17,0,, ,,0.0,A,,,False,34,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
30,n16,2021,17,0,, ,,0.0,A,,,False,35,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
31,n16,2021,17,0,, ,,0.0,A,,,False,38,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
32,n16,2021,17,0,, ,,0.0,A,,,False,39,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
45,n18,2022,5,0,," 6,0",,0.0,A,,,False,40,,,,,False,,,a21,2021,C,2083,,,,,,False,,,,,
45,n18,2022,5,0,," 6,0",,0.0,A,,,False,40,,,,,False,,,n18,2022,A,2083,,,,,,False,,,,False,
45,n18,2022,20,0,, ,,0.0,A,,,False,41,,,,,False,,,a21,2021,C,2083,,,,,,False,,,,,
45,n18,2022,20,0,, ,,0.0,A,,,False,41,,,,,False,,,n18,2022,A,2083,,,,,,False,,,,False,
87,n16,2021,17,0,, ,,0.0,A,,,False,25,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
130,n16,2021,17,0,, ,,0.0,A,,,False,18,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
131,n16,2021,17,0,, ,,0.0,A,,,False,36,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
208,n13,2022,5,0,," 6,0",,0.0,A,,,False,46,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
221,n13,2022,5,0,," 6,0",,0.0,A,,,False,53,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
289,n13,2022,5,0,," 6,0",,0.0,A,,,False,44,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
324,n13,2022,5,0,," 6,0",,0.0,A,,,False,45,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
455,n13,2022,5,0,," 6,0",,0.0,A,,,False,48,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
518,n13,2022,5,0,," 6,0",,0.0,A,,,False,42,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
540,n15,2022,5,0,," 6,0",,0.0,A,,,False,56,,,,,False,,,n15,2022,C,2083,,,,,,False,,,,False,
562,n13,2022,5,0,," 6,0",,0.0,A,,,False,50,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
582,n16,2021,17,0,, ,,0.0,A,,,False,26,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
583,n16,2021,17,0,, ,,0.0,A,,,False,28,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
587,n13,2022,5,0,," 6,0",,0.0,A,,,False,43,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
724,n16,2021,17,0,, ,,0.0,A,,,False,10,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
727,n16,2021,17,0,, ,,0.0,A,,,False,2,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
734,n16,2021,17,0,, ,,0.0,A,,,False,13,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
735,n16,2021,17,0,, ,,0.0,A,,,False,11,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
736,n16,2021,17,0,, ,,0.0,A,,,False,4,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
738,n16,2021,17,0,, ,,0.0,A,,,False,9,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
739,n16,2021,17,0,, ,,0.0,A,,,False,16,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
740,n16,2021,17,0,, ,,0.0,A,,,False,7,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
744,n16,2021,17,0,, ,,0.0,A,,,False,14,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
746,n16,2021,17,0,, ,,0.0,A,,,False,15,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
747,n16,2021,17,0,, ,,0.0,A,,,False,8,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
748,n16,2021,17,0,, ,,0.0,A,,,False,3,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
749,n16,2021,17,0,, ,,0.0,A,,,False,5,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
750,n16,2021,17,0,, ,,0.0,A,,,False,12,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
751,n16,2021,17,0,, ,,0.0,A,,,False,30,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
794,n16,2021,17,0,, ,,0.0,A,,,False,6,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
799,n16,2021,17,0,, ,,0.0,A,,,False,37,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
887,n13,2022,5,0,," 6,0",,0.0,A,,,False,55,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
920,n13,2022,5,0,," 6,0",,0.0,A,,,False,51,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
1124,n13,2022,5,0,," 6,0",,0.0,A,,,False,49,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
1160,n15,2022,5,0,," 6,0",,0.0,A,,,False,54,,,,,False,,,n15,2022,C,2083,,,,,,False,,,,False,
1166,n13,2022,5,0,," 6,0",,0.0,A,,,False,57,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
1167,n13,2022,5,0,," 6,0",,0.0,A,,,False,47,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
1171,n13,2022,5,0,," 6,0",,0.0,A,,,False,58,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
1246,n13,2022,5,0,," 6,0",,0.0,A,,,False,52,,,,,False,,,n13,2022,C,2083,,,,,,False,,,,False,
